DB,Byte,Bit,Value
2,140,0,0
4,0,0,2196
4,8,0,false
4,536,0,2436
4,544,0,false
4,1072,0,2604
4,1080,0,false
4,1608,0,2484
4,1616,0,false
4,2144,0,2508
4,2152,0,false
4,2680,0,2268
4,2688,0,false
4,3216,0,2700
4,3224,0,false
4,3752,0,2460
4,3760,0,false
4,4288,0,2580
4,4296,0,false
4,4824,0,2628
4,4832,0,false
4,5360,0,2148
4,5368,0,false
4,5896,0,2172
4,5904,0,false
4,6432,0,2364
4,6440,0,false
4,6968,0,2388
4,6976,0,false
4,7504,0,2532
4,7512,0,false
4,8040,0,2556
4,8048,0,false
4,8576,0,2772
4,8584,0,false
4,9112,0,2796
4,9120,0,false
4,9648,0,2820
4,9656,0,false
4,10184,0,2844
4,10192,0,false
4,10720,0,2220
4,10728,0,false
4,11256,0,2412
4,11264,0,false
4,11792,0,2748
4,11800,0,false
4,12328,0,2316
4,12336,0,false
4,12864,0,2244
4,12872,0,false
4,13400,0,2724
4,13408,0,false
4,13936,0,2868
4,13944,0,false
4,14472,0,2124
4,14480,0,false
4,15008,0,2292
4,15016,0,false
4,15544,0,2340
4,15552,0,false
4,16080,0,2652
4,16088,0,false
4,17152,0,4
5,0,0,88
5,70,0,true
5,72,0,153
5,776,0,0
5,780,0,256.2933
5,788,0,5
8,32,0,2
8,36,0,false
8,144,5,true
9,200,0,16
9,332,0,0
9,460,0,0
10,1164,0,0
10,1168,0,0
10,1172,0,0
10,2820,1,false
10,2932,0,900000
10,2936,0,900000
10,2940,0,false
10,3002,1,false
10,3020,3,false
30,8,0,0
30,10,0,false
30,10,1,true
30,10,2,false
30,12,0,0
30,192,0,8192
30,194,0,4069
30,198,0,32768
30,210,0,173
30,324,0,0
30,328,0,false
30,334,0,8192
30,336,0,4069
30,352,0,168
30,466,0,0
30,470,0,false
30,504,0,40
30,508,0,1
30,520,0,0
30,720,0,760
30,1826,0,0
50,1530,0,-1
50,1532,0,-1
54,0,0,0
60,764,0,-1
60,766,0,-1
64,0,0,0
70,8,0,0
70,10,0,false
70,10,1,true
70,10,2,false
70,12,0,0
70,192,0,8192
70,194,0,4069
70,198,0,32768
70,210,0,242
70,324,0,0
70,328,0,false
70,334,0,8192
70,336,0,4069
70,340,0,32768
70,352,0,238
70,466,0,0
70,470,0,false
70,504,0,40
70,508,0,1
70,520,0,0
70,722,0,1063
70,2276,0,0
100,1344,5,false
100,1556,5,false
100,1686,0,512
100,1688,0,0
100,1690,0,512
100,1692,0,8992
100,1694,0,31232
100,1696,0,0
100,1698,0,0
100,1700,0,0
100,1702,0,3
100,1704,0,2
100,1714,0,19.55289
100,1718,0,14.381676
100,1722,0,-0.6634276
100,1726,0,14.53109
100,1746,0,0
100,1774,0,19
100,1784,0,23
100,1814,0,0
100,1824,0,224
100,1826,0,46
100,1828,0,488
100,1830,0,525
100,1832,0,530
100,1834,0,455
100,2108,0,0
100,2116,0,false
123,96,0,0.0032381825
123,316,0,-0.0011608896
123,536,0,-0.01131214
123,756,0,-0.0015153862
123,2496,0,0
123,2716,0,0
123,2936,0,0
123,3156,0,0
123,3296,0,0.0032859559
123,3516,0,0.00024812014
123,3736,0,-0.011673922
123,3956,0,-0.0015153862
123,7332,0,-1
123,7334,0,-32513
130,764,0,0
140,726,0,0
140,728,0,0
140,730,0,false
181,0,0,1
190,0,0,2
190,2,0,1
190,4,0,1
190,6,0,1
190,10,0,200
190,14,0,1
190,100,0,262144547
190,106,0,262144547
190,112,0,262144547
190,118,0,262144547
190,124,0,262144547
190,130,0,262144547
190,136,0,262144547
190,140,0,0
190,142,0,262144547
190,146,0,8
190,148,0,262144546
190,154,0,262144547
190,160,0,262144547
190,166,0,262144547
190,172,0,262144547
190,178,0,65537058
190,184,0,65537058
190,190,0,65537058
190,196,0,65537058
190,202,0,65537058
190,208,0,65537058
190,214,0,655362113
190,334,0,0
190,338,0,0
190,342,0,0
190,346,0,0
190,354,0,false
190,356,0,300000
190,360,0,300000
190,372,0,1
190,376,0,1
190,380,0,-100
190,408,0,65535
190,410,0,65535
191,6,0,false
191,8,1,false
193,1206,0,0
200,2,0,255
200,48,0,-6
200,50,0,2.1572514
200,54,0,29.751583
200,58,0,27.220938
200,62,0,24.74767
200,116,0,true
200,118,0,false
200,118,3,false
200,156,5,false
319,2,0,-99
319,4,0,false
319,72,0,0
319,76,0,0
319,88,0,0
319,92,0,0
501,2,0,0
501,6,0,0
501,10,0,0
